kmax,N,grid_peak_r,grid_peak_r2xi,parabolic_peak_r,parabolic_peak_r2xi
3.0,262144,105.8000000000008,20.022961039758364,105.76775399679367,20.028195824488648
10.0,262144,105.9000000000008,19.084229645818983,105.87113028029752,19.09056564574712
30.0,262144,105.9000000000008,18.93967822203805,105.89031236147092,18.94002650564653
100.0,262144,105.70000000000078,18.925490771101938,105.67527313848385,18.925611453713827
100.0,16384,105.40000000000079,21.246975205552474,105.39262094943518,21.260034774895757
100.0,65536,105.9000000000008,18.925895312620707,105.87214423449763,18.926597365096313
100.0,262144,105.70000000000078,18.925490771101938,105.67527313848385,18.925611453713827
100.0,524288,105.70000000000078,18.925490574751517,105.67529277169058,18.925611043525805
